IMPUTATION;ANNEE;CATEGORIE;TITRE;ADRESSE URL;icon
Communication;;;;;TV/icones/videos_communicate.png
Communication;2008;;Flash info TV nov 2008;https://www.youtube.com/watch?v=wypuDlI62dY;
Communication;2009;;Flash info TV jan 2009;https://www.youtube.com/watch?v=7-3tCgzZOqs;
Communication;2009;;Flash info TV oct 2009;https://www.youtube.com/watch?v=81-O3DQOceI;
Communication;2009;;ITW ESTROSI 2009;https://www.youtube.com/watch?v=6rV1A3T4J_E;
Communication;2009;;WEB JT SEPT 2009;https://www.youtube.com/watch?v=HK386lKv6sQ;
Communication;2010;;Flash info déc 2010;https://www.youtube.com/watch?v=z1U75_cC4oc;
Communication;2010;;Flash info Nov 2010;https://www.youtube.com/watch?v=FK_CcK4SG-g;
Communication;2010;;Flash info oct 2010;https://www.youtube.com/watch?v=0NRatHHzMRU;
Communication;2010;;Flash info TV Juillet 2010;https://www.youtube.com/watch?v=VKmskB7jGQQ;
Communication;2010;;Flash info TV mai Juin 2010;https://www.youtube.com/watch?v=Pszyhuyo9dA;
Communication;2010;;Flash Septembre 2010;https://www.youtube.com/watch?v=uogPbLjjNjM;
Communication;2010;;Le Flash Telecom Valley Fevrier 2010;https://www.youtube.com/watch?v=VXQyOfwRPIE;
Communication;2010;;Le Web Journal de Telecom Valley Avril 2010;https://www.youtube.com/watch?v=U9pkcs-Vgfy;
Communication;2010;;L'internet du futur mais quel futur Oct 2010;https://www.youtube.com/watch?v=sGl-uLyvo0M;
Communication;2010;;Web Journal TV Janvier 2010;https://www.youtube.com/watch?v=WRpin3p4kus;
Communication;2010;;Web JT Telecom Valley mars 2010;https://www.youtube.com/watch?v=_fakUoWVynM;
Communication;2010;;Web JT TV janvier 2010;https://www.youtube.com/watch?v=2IGOWB56JhA;
Communication;2011;;20 ans de Telecom Valley - 9 et 10 septembre 2011;https://www.youtube.com/watch?v=EGxac7fTEfI;
Communication;2011;Business Lunch Telecom Valley;janv-11;https://www.youtube.com/watch?v=6IwgDLbcH1g;
Communication;2011;Business Lunch Telecom Valley;mai-11;https://www.youtube.com/watch?v=7pH-cjrr0SI;
INNOVATION;;;;;TV/icones/videos_innovation.png
INNOVATION;2011;;Commission Innovation fév 2011;https://www.youtube.com/watch?v=dlgcve8HM_U;
Communication;2011;;DEEE Day Sophia mars 2011;https://www.youtube.com/watch?v=_JlJlqk3UjQ;
Challenge Jeunes Pousses;;;;;TV/icones/videos_CJP.png
Challenge Jeunes Pousses;2011;;Demi-finale Challenge Jeunes Pousses 2011;https://www.youtube.com/watch?v=UJQnAet_mgo;
Communication;2011;;Exemple de réalité augmentée;https://www.youtube.com/watch?v=qpWSkpnJUO4;
Challenge Jeunes Pousses;2011;;Finale Challenge Jeunes Pousses Mars 2011;https://www.youtube.com/watch?v=4oipnZYt6GE;
Communication;2011;;Flash info janv 2011;https://www.youtube.com/watch?v=ktFCJrtqYGA;
M TOURISME;;;;;TV/icones/videos_tourism.png
M TOURISME;2011;;Journée m Tourisme 2011;https://www.youtube.com/watch?v=iu0vUelJSLI;
INNOVATION;2011;;L'innovation vue par Orange 2011;https://www.youtube.com/watch?v=quGLRsDL_Ys;
Challenge Jeunes Pousses;2011;;Présentation Challenge Jeunes Pousses 2011;https://www.youtube.com/watch?v=IMitAJRu04k;
Communication;2011;;Rencontre avec Frédéric Jugi;https://www.youtube.com/watch?v=z-2QuXMeKxw;
Communication;2011;;Rencontre avec Marc Barret;https://www.youtube.com/watch?v=Bgs7tuIXWM0;
Communication;2011;;Rencontre avec Teresa Colombi;https://www.youtube.com/watch?v=KcuNA-aUBMs;
Communication;2011;;Rencontres dynamiques 2011;https://www.youtube.com/watch?v=OqfP4mOJ2Fg;
OPEN SOURCE;;;;;TV/icones/videos_open_source.png
OPEN SOURCE;2011;;SophiaConf2011;https://www.youtube.com/watch?v=OlNWNtkunKs;
Challenge Jeunes Pousses;2012;;10 ans du Challenge Jeunes Pousses - 2012;https://www.youtube.com/watch?v=nDziNPZCvCI;
INNOVATION;2012;;B'Art Tic Time mai 2012;https://www.youtube.com/watch?v=tR2ede9B3fc;
OPEN SOURCE;2012;;Big data, NoSQL, Big Search - SophiaConf2012 - 03 07 12;https://www.youtube.com/watch?v=VWSlG3KmfnA;
INNOVATION;2012;Conférence Agile Management;Jurgen Appelo - 1ère partie;https://www.youtube.com/watch?v=0ZeSp3MEsD4;
INNOVATION;2012;Conférence Agile Management;"Jurgen Appelo - 2ème partie ""Complexity thinking""";https://www.youtube.com/watch?v=gePiweFZ9LM;
INNOVATION;2012;Conférence Agile Management;"Jurgen Appelo - 3ème partie ""How to change the world""";https://www.youtube.com/watch?v=yKMhiRm0w8U;
Communication;2012;;meilleurs voeux 2012;https://www.youtube.com/watch?v=ZkwTFU4_lnc;
OPEN SOURCE;2012;SophiaConf 2012;04 07 12 des paroles aux actes 2 transformateurs de données ouvertes;https://www.youtube.com/watch?v=Put3gXZ1-vo;
OPEN SOURCE;2012;SophiaConf 2012;04 07 12 des paroles aux actes producteurs de données ouvertes;https://www.youtube.com/watch?v=cCIJm0X9mHw;
Communication;2013;;meilleurs voeux 2013;https://www.youtube.com/watch?v=RjXd07N-Hts;
M TOURISME;2014;;"Journée m-Tourisme 2014 ""TIC et Tourisme côtier pour Tous en Euro-Méditerranée""";https://www.youtube.com/watch?v=fv_8NLM2l7E;
OPEN SOURCE;2014;SophiaConf 2014;01.0.2014 - Edmond CISSE - Uraeus Consult;https://www.youtube.com/watch?v=DVcdPZUerok;
OPEN SOURCE;2014;SophiaConf 2014;01.07.14 - Cyril GROSJEAN - Janua;https://www.youtube.com/watch?v=CJOU-sRnS-I;
OPEN SOURCE;2014;SophiaConf 2014;01.07.14 - Didier GIRARD - Sfeir;https://www.youtube.com/watch?v=gEaIvZsPn38;
OPEN SOURCE;2014;SophiaConf 2014;01.07.14 - OlivierTAVARD France Labs;https://www.youtube.com/watch?v=TdMJZP9pnX4;
OPEN SOURCE;2014;SophiaConf 2014;02.07.14 - Benoit CHARBONNIER - Amadeus;https://www.youtube.com/watch?v=nzH0pQjXd9U;
OPEN SOURCE;2014;SophiaConf 2014;02.07.14 - Christophe DESCLAUX - Reador;https://www.youtube.com/watch?v=HI2fGrLla58;
OPEN SOURCE;2014;SophiaConf 2014;02.07.14 - David BRODERICK - Brodlist;https://www.youtube.com/watch?v=MhGKm_S4t2w;
OPEN SOURCE;2014;SophiaConf 2014;02.07.14 - Fabien GANDON - Inria;https://www.youtube.com/watch?v=HdsHXAQpok4;
OPEN SOURCE;2014;SophiaConf 2014;02.07.14 - Guillaume ERETEO - Mnemotix;https://www.youtube.com/watch?v=jkk0TnA5fWs;
OPEN SOURCE;2014;SophiaConf 2014;02.07.14 - Guillaume VILAND - Orange;https://www.youtube.com/watch?v=-SJ0cVHId94;
OPEN SOURCE;2014;SophiaConf 2014;03.07.14 - Alexis MOUSSINE - Google;https://www.youtube.com/watch?v=MFHabC32RJs;
OPEN SOURCE;2014;SophiaConf 2014;03.07.14 - Bertrand LAPORTE - Amadeus;https://www.youtube.com/watch?v=JXmNb7V3Muw;
OPEN SOURCE;2014;SophiaConf 2014;03.07.14 - Matti SCHNEIDER;https://www.youtube.com/watch?v=ULXWJQcLaqc;
OPEN SOURCE;2014;SophiaConf 2014;03.07.14 - Pawel KOZLOWSKI - Amadeus;https://www.youtube.com/watch?v=TOYE06rA3nA;
OPEN SOURCE;2014;SophiaConf 2014;30.06.14 - Alexandru CARACAS - IBM;https://www.youtube.com/watch?v=J6C4Tklsh5U;
OPEN SOURCE;2014;SophiaConf 2014;30.06.14 - Benjamin CABE - Eclipse;https://www.youtube.com/watch?v=Lf27gpW2Icw;
OPEN SOURCE;2014;SophiaConf 2014;30.06.2014 - Julien HOLTZER - Pobot;https://www.youtube.com/watch?v=65t_ov6LIpE;
OPEN SOURCE;2014;SophiaConf 2014;30.06.2014 Pascal BODIN - Orange;https://www.youtube.com/watch?v=5E60BpyfWF8;
OPEN SOURCE;2014;SophiaConf 2014;07.14 - Laurent BIHANIC - Atos;https://www.youtube.com/watch?v=UDrKhgs9-LY;
OPEN SOURCE;2014;SophiaConf 2014;07.14 - Alexis MOUSSINE-POUCHKINE New;https://www.youtube.com/watch?v=AFVHUD89Eb4;
OPEN SOURCE;2014;SophiaConf 2014;07.14 - Benoit CHARBONNIER New;https://www.youtube.com/watch?v=diVaRcrMws0;
OPEN SOURCE;2014;SophiaConf 2014;06.14 - Alexis MOUSSINE - Google;https://www.youtube.com/watch?v=CEJswW6EQ-U;
OPEN SOURCE;2014;SophiaConf 2014;06.14 - Alexis MOUSSINE-POUCHKINE New;https://www.youtube.com/watch?v=F4UPhh_tpKA;
OPEN SOURCE;2014;SophiaConf 2014;06.14 - Jean DEMARTINI - Demtech;https://www.youtube.com/watch?v=SVx-S0H-WFM;
M TOURISME;2015;;1 - Ouverture de la Journée internationale du m-tourisme par la Métropole Nice Côte d'Azur;https://www.youtube.com/watch?v=wRNwYHfQBUs;
M TOURISME;2015;;10 - Flux Vision - La vision du Big Data par Orange - Franck Lavagna;https://www.youtube.com/watch?v=wuDsLVeSLcI;
M TOURISME;2015;;11 - Watson d'IBM par Michel Porta;https://www.youtube.com/watch?v=lEeDJLp1Kj0;
M TOURISME;2015;;12 - Présentation du Livre Blanc Big Data for Tourism de Telcom Valley;https://www.youtube.com/watch?v=NMoHPlsQBco;
Challenge Jeunes Pousses;2015;;13ème Challenge Jeunes Pousses Telecom Valley;https://www.youtube.com/watch?v=JceXDvGRXiY;
M TOURISME;2015;;2 - Call Conference : Baleares.t - Big Data for Tourism - Palma de Mallorca;https://www.youtube.com/watch?v=gZ2VtqoM8wQ;
M TOURISME;2015;;3 - Sitra - Région PACA - Laurent Greffeuile;https://www.youtube.com/watch?v=4j6NRvAD2_0;
M TOURISME;2015;;4 - Présentation de TourInflux par Proxem - Francois-Régis Chaumartin;https://www.youtube.com/watch?v=r1Dq8rqx4tQ;
M TOURISME;2015;;5 - Présentation de ForwardKeys par Patrick Vece & Sébastien Cron;https://www.youtube.com/watch?v=ubjMI0aVeWM;
M TOURISME;2015;;6 - Présentation de l'usage du casque Homido par Eric Doré - CRT Riviera Côte d'Azur;https://www.youtube.com/watch?v=nks6zP6yh0I;
M TOURISME;2015;;7 - Table Ronde : Big Data next opportunity for Tourism;https://www.youtube.com/watch?v=1HDQy1_Lj48;
M TOURISME;2015;;8 - Usages d'OpenStreetMap et du big data pour l'accessibilité;https://www.youtube.com/watch?v=POXK8dSUsRs;
M TOURISME;2015;;9 - Enquête nationale d’accessibilité aux Data dans le Tourisme par Isabelle Richard - DGE;https://www.youtube.com/watch?v=jMWUJ7tcaFs;
Challenge Jeunes Pousses;2015;;Concours Challenge Jeunes Pousses - Entrepreneuriat étudiant;https://www.youtube.com/watch?v=FRE9wnaftE8;
SOFAB;;;;;TV/icones/videos_sofab.png
SOFAB;2015;;Fête des makers de SoFAB à SophiaConf - 7 juillet 2015, Sophia Antipolis;https://www.youtube.com/watch?v=I5M2v3dGzAY;
OPEN SOURCE;2015;SophiaConf 2015;M. Paonessa (Jaguar Network) votre infrastructure cloud est elle sécurisée?;https://www.youtube.com/watch?v=RjQ6heAjfYY;
OPEN SOURCE;2015;SophiaConf 2015;B. Peccatte (Normation) M. Longuet (Itika) configuration de vos serveurs avec Rudder;https://www.youtube.com/watch?v=tz6KH7QQW0w;
OPEN SOURCE;2015;SophiaConf 2015;A. Moussine Pouchkine (Google) - Comment Google gère l’entropie de son …;https://www.youtube.com/watch?v=hf4Xn76SmZw;
OPEN SOURCE;2015;SophiaConf 2015;A. Rizal E. Bastien (Amadeus) - Data Science et Big Data industrie voyage tourisme;https://www.youtube.com/watch?v=vCmkRvKQs5w;
OPEN SOURCE;2015;SophiaConf 2015;C. Charreyre (CIO Systèmes Embarqués) - Yocto;https://www.youtube.com/watch?v=FoRCEsZ4PKs;
OPEN SOURCE;2015;SophiaConf 2015;C. de Dinechin (Taodyne) - Inventer le langage de l’Internet of Things;https://www.youtube.com/watch?v=D04Z53b-aUA;
OPEN SOURCE;2015;SophiaConf 2015;F. De Simoni L. Saadi - Opennebula & son écosystème pour infrastructure cloud agile;https://www.youtube.com/watch?v=8PoG6AYN5ws;
OPEN SOURCE;2015;SophiaConf 2015;F. Donnat (SecludIT) - Détectez les points faibles de vos machines avec OpenVAS;https://www.youtube.com/watch?v=PLBbWZJiSyg;
OPEN SOURCE;2015;SophiaConf 2015;F. Precioso (UNS) - Les mathématiques au secours de nos données;https://www.youtube.com/watch?v=TAr30i30MEA;
OPEN SOURCE;2015;SophiaConf 2015;J. Holtzer (SopraSteria) - REX sur l’Internet des objets avec SopraSteria;https://www.youtube.com/watch?v=G5vaNEDtR1g;
OPEN SOURCE;2015;SophiaConf 2015;L. Gomez C. Hébert (SAP Labs France) - Le Cloud, nouveau fort de Vauban?;https://www.youtube.com/watch?v=r-ZUCnhM3eE;
OPEN SOURCE;2015;SophiaConf 2015;N. Cameron (Amadeus) - Securing large development lifecycles in a big company;https://www.youtube.com/watch?v=RLeeC3MwMRY;
OPEN SOURCE;2015;SophiaConf 2015;O. Tavard (France Labs) - Les Big Data Science facile par l’angle de la fouille;https://www.youtube.com/watch?v=uhkM3aPvH28;
OPEN SOURCE;2015;SophiaConf 2015;P. Baudelle (HP) - Du SQL par-dessus Hadoop avec le projet Trafodion;https://www.youtube.com/watch?v=foxrQWA5Z8o;
OPEN SOURCE;2015;SophiaConf 2015;P. Flamand (Telecom Valley) - SoFAB a 8 mois : le bébé est-il beau ?;https://www.youtube.com/watch?v=I2T-Bp7Sm2Y;
OPEN SOURCE;2015;SophiaConf 2015;P. Staccini (UNS) - Les Data Sciences pour la santé: Qui, Quoi, Comment ?;https://www.youtube.com/watch?v=SdM10b2CASU;
OPEN SOURCE;2015;SophiaConf 2015;P-F. Poli (Amadeus) - Mise en oeuvre Docker et Kubernetes chez Amadeus;https://www.youtube.com/watch?v=zSa9On-rveI;
OPEN SOURCE;2015;SophiaConf 2015;R. Deconde & P. Alexandre (Orange) - Docker et Mesos;https://www.youtube.com/watch?v=21OaTjv1EPM;
OPEN SOURCE;2015;SophiaConf 2015;projets des makers de SoFAB;https://www.youtube.com/watch?v=TJeAvXg8iIA;
OPEN SOURCE;2015;SophiaConf 2015;S. Abid (Abid Avocats) - L’Internet des objets et le droit français, état des lieux;https://www.youtube.com/watch?v=DcuIvRxmfuA;
OPEN SOURCE;2015;SophiaConf 2015;S. Uyttendaele (Busit) - IoT & objets connectés, comment les connecte-t-on ?;https://www.youtube.com/watch?v=yxVD6aaj19E;
OPEN SOURCE;2015;SophiaConf 2015;N. Grynwald (Nomia Conseils) La marque, l’autre façon de protéger idées & technos;https://www.youtube.com/watch?v=EfAV5IwPuRA;
Communication;2015;;Telecom Valley en 2015;https://www.youtube.com/watch?v=_BCh7YnXPNs;
SOFAB;2016;;Retour sur le #GreenGame II par la Ville de Biot et Telecom Valley;https://www.youtube.com/watch?v=0-oyVPWEo0I;
OPEN SOURCE;2016;Sophia Conf 2016;G. PLASSAT (Ademe) La fabrique des mobilités;https://www.youtube.com/watch?v=Vy-fTXomNCE;
SOFAB;2016;Sophia Conf 2016;TOCS - IOT M2JOB Questions;https://www.youtube.com/watch?v=Ei7fvGORHyI;
SOFAB;2016;Sophia Conf 2016;TOCS - PASSAGER CONNECTE Questions;https://www.youtube.com/watch?v=jXfMkHIDVf4;
SOFAB;2016;Sophia Conf 2016;TOCS - SELFBERRY Questions;https://www.youtube.com/watch?v=CZSeFa5kVR4;
SOFAB;2016;Sophia Conf 2016;TOCS - SIEGES CONNECTES Questions;https://www.youtube.com/watch?v=ntbTrg2du3U;
SOFAB;2016;Sophia Conf 2016;TOCS - TRANSFARMERS Questions;https://www.youtube.com/watch?v=mRQfD_62qxw;
SOFAB;2016;Sophia Conf 2016;TOCS - WHERE IS MY GPU Questions;https://www.youtube.com/watch?v=InDls10rjhE;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services;https://www.youtube.com/watch?v=DUzv6bz9B9s;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - FLOWERS IN THE AIR;https://www.youtube.com/watch?v=DgNgpIf10fg;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - IOT M2JOB;https://www.youtube.com/watch?v=5nikwr8i-bk;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - MAJORDOME;https://www.youtube.com/watch?v=eGc-ZyqAODk;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - PASSAGER CONNECTE;https://www.youtube.com/watch?v=uRjfmgLE-Pc;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - SELFBERRY;https://www.youtube.com/watch?v=kxjolDm1MI0;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - SIEGES D'AVION CONNECTES;https://www.youtube.com/watch?v=cyRa09Yb5Pg;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - TRANSFARMERS;https://www.youtube.com/watch?v=emHJiZaiN3o;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - URBAN VOICES;https://www.youtube.com/watch?v=XvPTB5mPcgk;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - WHERE IS MY GPU;https://www.youtube.com/watch?v=jJ7sUUvpy3g;
OPEN SOURCE;2016;Sophia Conf 2016;A. DELCASSE (SCITY.COOP) Economies collaborative, coopérative, sociale et solidaire;https://www.youtube.com/watch?v=74v2AZvRkyY;
OPEN SOURCE;2016;Sophia Conf 2016;A. DELCASSE Questions;https://www.youtube.com/watch?v=si7G_ap3Pcs;
OPEN SOURCE;2016;Sophia Conf 2016;C. DENEUX (Linagora) Déploiement élastique dans le cloud par Roboconf;https://www.youtube.com/watch?v=8lswaoW2gCw;
OPEN SOURCE;2016;Sophia Conf 2016;C. GROSJEAN (Forgerock) IoT & Identity Management;https://www.youtube.com/watch?v=fAuSn3I_2ak;
OPEN SOURCE;2016;Sophia Conf 2016;C. ULMER (France Labs) France Labs – Ethique, partage et rentabilité;https://www.youtube.com/watch?v=t7gPPXxLVcY;
OPEN SOURCE;2016;Sophia Conf 2016;C. ULMER Questions;https://www.youtube.com/watch?v=5qe-a7ZnjBA;
OPEN SOURCE;2016;Sophia Conf 2016;F. CLEMENT (Orange) Devops et architecture : « Je t’aime. – Moi non plus ! » ?;https://www.youtube.com/watch?v=kiXPWZMMrng;
OPEN SOURCE;2016;Sophia Conf 2016;G. HEINRICH (Nvidia) Deep Learning accéléré par GPU;https://www.youtube.com/watch?v=Mios-ysHeg0;
OPEN SOURCE;2016;Sophia Conf 2016;G.PLASSAT Questions;https://www.youtube.com/watch?v=C_J5nXftfYs;
OPEN SOURCE;2016;Sophia Conf 2016;"L. BOGHOSSIAN Résumé de la soirée du 7 juillet """"Economie collaborative""""""";https://www.youtube.com/watch?v=TAIVSUJM3Yg;
OPEN SOURCE;2016;Sophia Conf 2016;L. JUGGERY (TraXxs) Applications Saas et méthodologie 12-Factor;https://www.youtube.com/watch?v=_aabZfdkZJs;
OPEN SOURCE;2016;Sophia Conf 2016;M. DUCOFFE (UNS I3S) Introduction au Deep Learning;https://www.youtube.com/watch?v=ecNN04T_flA;
OPEN SOURCE;2016;Sophia Conf 2016;M. GORNER (Google) Tensorflow et l’apprentissage profond;https://www.youtube.com/watch?v=pHMfATDTvko;
OPEN SOURCE;2016;Sophia Conf 2016;M. GORNER Question;https://www.youtube.com/watch?v=HQar2OfGivo;
OPEN SOURCE;2016;Sophia Conf 2016;MA. BERNASCONI (Estrelab) L’économie collaborative peut-elle faire encore rêver ?;https://www.youtube.com/watch?v=VICIBZvbxnU;
OPEN SOURCE;2016;Sophia Conf 2016;MA. BERNASCONI Questions;https://www.youtube.com/watch?v=ryH7Htb3_Ko;
OPEN SOURCE;2016;Sophia Conf 2016;MANUEL (Com4innov)/LEFEUVRE (Tas France) FIWARE Lab;https://www.youtube.com/watch?v=c9hJlcYuaCY;
OPEN SOURCE;2016;Sophia Conf 2016;N. MULLER (Treeptik) CloudUnit la plateforme DevOps Java;https://www.youtube.com/watch?v=PSu89F_FHGQ;
OPEN SOURCE;2016;Sophia Conf 2016;N. MULLER Questions;https://www.youtube.com/watch?v=w5LIHHw3wxU;
OPEN SOURCE;2016;Sophia Conf 2016;P. MICHIARDI (Eurecom) Passé, présent et futur pour Apache Spark;https://www.youtube.com/watch?v=I9PZhCNRxao;
OPEN SOURCE;2016;Sophia Conf 2016;S. BEUZIT/G. GAGNIARD (Amadeus) Moving Amadeus Shopping to the cloud;https://www.youtube.com/watch?v=VwyolgVPATk;
OPEN SOURCE;2016;Sophia Conf 2016;S. BEUZIT/G. GAGNIARD Questions;https://www.youtube.com/watch?v=QkGsD-Os8F0;
OPEN SOURCE;2016;Sophia Conf 2016;S. MARTI (Orange) Machine Learning appliqué aux séries temporelles;https://www.youtube.com/watch?v=dEBdv8RD02Q;
OPEN SOURCE;2016;Sophia Conf 2016;S. MARTI Questions;https://www.youtube.com/watch?v=cBD-r3g55yQ;
OPEN SOURCE;2016;Sophia Conf 2016;S.ALEGRET (Greencom Networks) Genèse d’une plateforme IoT pour les Smart Grids;https://www.youtube.com/watch?v=4mBFRiHQBdI;
OPEN SOURCE;2016;Sophia Conf 2016;TOCS - FLOWERS IN THE AIR Questions;https://www.youtube.com/watch?v=NmE5t5svf38;
OPEN SOURCE;2016;Sophia Conf 2016;L. JUGGERY Questions;https://www.youtube.com/watch?v=EuN2LZWsWXM;
SOFAB;2016;Sophia Conf 2016;TOCS - URBAN VOICES Questions;https://www.youtube.com/watch?v=DMWbMatBZzA;
Communication;2016;;Voeux 2016 - Telecom Valley;https://www.youtube.com/watch?v=HXjroUWnx0o;
